"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alexandria city, VA"	"51510"	"2019"	"2019"	22	159428	13.8
	"Alexandria city, VA"	"51510"	"2020"	"2020"	24	158726	15.1
	"Alexandria city, VA"	"51510"	"2021 "	"2021"	27	154706	17.5
	"Bristol city, VA"	"51520"	"2018"	"2018"	Suppressed	16482	Suppressed
	"Bristol city, VA"	"51520"	"2019"	"2019"	Suppressed	16762	Suppressed
	"Bristol city, VA"	"51520"	"2020"	"2020"	Suppressed	17329	Suppressed
	"Bristol city, VA"	"51520"	"2021 "	"2021"	Suppressed	17054	Suppressed
	"Buena Vista city, VA"	"51530"	"2018"	"2018"	Suppressed	6237	Suppressed
	"Buena Vista city, VA"	"51530"	"2019"	"2019"	0	6478	Unreliable
	"Buena Vista city, VA"	"51530"	"2020"	"2020"	Suppressed	6402	Suppressed
	"Buena Vista city, VA"	"51530"	"2021 "	"2021"	Suppressed	6601	Suppressed
	"Charlottesville city, VA"	"51540"	"2018"	"2018"	Suppressed	48117	Suppressed
	"Charlottesville city, VA"	"51540"	"2019"	"2019"	Suppressed	47266	Suppressed
	"Charlottesville city, VA"	"51540"	"2020"	"2020"	Suppressed	46950	Suppressed
	"Charlottesville city, VA"	"51540"	"2021 "	"2021"	13	45672	Unreliable
	"Chesapeake city, VA"	"51550"	"2018"	"2018"	44	242634	18.1
	"Chesapeake city, VA"	"51550"	"2019"	"2019"	43	244835	17.6
	"Chesapeake city, VA"	"51550"	"2020"	"2020"	65	247011	26.3
	"Chesapeake city, VA"	"51550"	"2021 "	"2021"	60	251269	23.9
	"Colonial Heights city, VA"	"51570"	"2018"	"2018"	10	17833	Unreliable
	"Colonial Heights city, VA"	"51570"	"2019"	"2019"	Suppressed	17370	Suppressed
	"Colonial Heights city, VA"	"51570"	"2020"	"2020"	Suppressed	17205	Suppressed
	"Colonial Heights city, VA"	"51570"	"2021 "	"2021"	15	18273	Unreliable
	"Covington city, VA"	"51580"	"2018"	"2018"	0	5460	Unreliable
	"Covington city, VA"	"51580"	"2019"	"2019"	Suppressed	5538	Suppressed
	"Covington city, VA"	"51580"	"2020"	"2020"	Suppressed	5639	Suppressed
	"Covington city, VA"	"51580"	"2021 "	"2021"	Suppressed	5717	Suppressed
	"Danville city, VA"	"51590"	"2018"	"2018"	Suppressed	40693	Suppressed
	"Danville city, VA"	"51590"	"2019"	"2019"	11	40044	Unreliable
	"Danville city, VA"	"51590"	"2020"	"2020"	15	39869	Unreliable
	"Danville city, VA"	"51590"	"2021 "	"2021"	20	42215	47.4
	"Emporia city, VA"	"51595"	"2018"	"2018"	Suppressed	5121	Suppressed
	"Emporia city, VA"	"51595"	"2019"	"2019"	0	5346	Unreliable
	"Emporia city, VA"	"51595"	"2020"	"2020"	Suppressed	5257	Suppressed
	"Emporia city, VA"	"51595"	"2021 "	"2021"	Suppressed	5667	Suppressed
	"Fairfax city, VA"	"51600"	"2018"	"2018"	Suppressed	24574	Suppressed
	"Fairfax city, VA"	"51600"	"2019"	"2019"	Suppressed	24019	Suppressed
	"Fairfax city, VA"	"51600"	"2020"	"2020"	Suppressed	23429	Suppressed
	"Fairfax city, VA"	"51600"	"2021 "	"2021"	Suppressed	24276	Suppressed
	"Falls Church city, VA"	"51610"	"2018"	"2018"	Suppressed	14772	Suppressed
	"Falls Church city, VA"	"51610"	"2019"	"2019"	0	14617	Unreliable
	"Falls Church city, VA"	"51610"	"2020"	"2020"	0	14631	Unreliable
	"Falls Church city, VA"	"51610"	"2021 "	"2021"	12	14493	Unreliable
	"Franklin city, VA"	"51620"	"2018"	"2018"	Suppressed	8013	Suppressed
	"Franklin city, VA"	"51620"	"2019"	"2019"	Suppressed	7967	Suppressed
	"Franklin city, VA"	"51620"	"2020"	"2020"	Suppressed	7833	Suppressed
	"Franklin city, VA"	"51620"	"2021 "	"2021"	Suppressed	8217	Suppressed
	"Fredericksburg city, VA"	"51630"	"2018"	"2018"	12	29144	Unreliable
	"Fredericksburg city, VA"	"51630"	"2019"	"2019"	Suppressed	29036	Suppressed
	"Fredericksburg city, VA"	"51630"	"2020"	"2020"	16	29492	Unreliable
	"Fredericksburg city, VA"	"51630"	"2021 "	"2021"	18	28367	Unreliable
	"Galax city, VA"	"51640"	"2018"	"2018"	0	6423	Unreliable
	"Galax city, VA"	"51640"	"2019"	"2019"	Suppressed	6347	Suppressed
	"Galax city, VA"	"51640"	"2020"	"2020"	Suppressed	6296	Suppressed
	"Galax city, VA"	"51640"	"2021 "	"2021"	Suppressed	6660	Suppressed
	"Hampton city, VA"	"51650"	"2018"	"2018"	30	134313	22.3
	"Hampton city, VA"	"51650"	"2019"	"2019"	50	134510	37.2
	"Hampton city, VA"	"51650"	"2020"	"2020"	49	135464	36.2
	"Hampton city, VA"	"51650"	"2021 "	"2021"	47	137746	34.1
	"Harrisonburg city, VA"	"51660"	"2018"	"2018"	Suppressed	54033	Suppressed
	"Harrisonburg city, VA"	"51660"	"2019"	"2019"	Suppressed	53016	Suppressed
	"Harrisonburg city, VA"	"51660"	"2020"	"2020"	Suppressed	53204	Suppressed
	"Harrisonburg city, VA"	"51660"	"2021 "	"2021"	Suppressed	51430	Suppressed
	"Hopewell city, VA"	"51670"	"2018"	"2018"	14	22596	Unreliable
	"Hopewell city, VA"	"51670"	"2019"	"2019"	11	22529	Unreliable
	"Hopewell city, VA"	"51670"	"2020"	"2020"	16	22375	Unreliable
	"Hopewell city, VA"	"51670"	"2021 "	"2021"	25	23140	108.0
	"Lexington city, VA"	"51678"	"2018"	"2018"	Suppressed	7136	Suppressed
	"Lexington city, VA"	"51678"	"2019"	"2019"	Suppressed	7446	Suppressed
	"Lexington city, VA"	"51678"	"2020"	"2020"	0	7279	Unreliable
	"Lexington city, VA"	"51678"	"2021 "	"2021"	0	7456	Unreliable
	"Lynchburg city, VA"	"51680"	"2018"	"2018"	14	82126	Unreliable
	"Lynchburg city, VA"	"51680"	"2019"	"2019"	19	82168	Unreliable
	"Lynchburg city, VA"	"51680"	"2020"	"2020"	18	81561	Unreliable
	"Lynchburg city, VA"	"51680"	"2021 "	"2021"	32	79009	40.5
	"Manassas city, VA"	"51683"	"2018"	"2018"	Suppressed	41641	Suppressed
	"Manassas city, VA"	"51683"	"2019"	"2019"	13	41085	Unreliable
	"Manassas city, VA"	"51683"	"2020"	"2020"	12	40869	Unreliable
	"Manassas city, VA"	"51683"	"2021 "	"2021"	24	42708	56.2
	"Manassas Park city, VA"	"51685"	"2018"	"2018"	0	17307	Unreliable
	"Manassas Park city, VA"	"51685"	"2019"	"2019"	Suppressed	17478	Suppressed
	"Manassas Park city, VA"	"51685"	"2020"	"2020"	Suppressed	18004	Suppressed
	"Manassas Park city, VA"	"51685"	"2021 "	"2021"	Suppressed	17002	Suppressed
	"Martinsville city, VA"	"51690"	"2018"	"2018"	Suppressed	12902	Suppressed
	"Martinsville city, VA"	"51690"	"2019"	"2019"	Suppressed	12554	Suppressed
	"Martinsville city, VA"	"51690"	"2020"	"2020"	12	12355	Unreliable
	"Martinsville city, VA"	"51690"	"2021 "	"2021"	Suppressed	13517	Suppressed
	"Newport News city, VA"	"51700"	"2018"	"2018"	46	178626	25.8
	"Newport News city, VA"	"51700"	"2019"	"2019"	42	179225	23.4
	"Newport News city, VA"	"51700"	"2020"	"2020"	69	179062	38.5
	"Newport News city, VA"	"51700"	"2021 "	"2021"	70	184587	37.9
	"Norfolk city, VA"	"51710"	"2018"	"2018"	58	244076	23.8
	"Norfolk city, VA"	"51710"	"2019"	"2019"	52	242742	21.4
	"Norfolk city, VA"	"51710"	"2020"	"2020"	87	242803	35.8
	"Norfolk city, VA"	"51710"	"2021 "	"2021"	120	235089	51.0
	"Norton city, VA"	"51720"	"2018"	"2018"	Suppressed	3968	Suppressed
	"Norton city, VA"	"51720"	"2019"	"2019"	Suppressed	3981	Suppressed
	"Norton city, VA"	"51720"	"2020"	"2020"	Suppressed	3985	Suppressed
	"Norton city, VA"	"51720"	"2021 "	"2021"	Suppressed	3666	Suppressed
	"Petersburg city, VA"	"51730"	"2018"	"2018"	10	31567	Unreliable
	"Petersburg city, VA"	"51730"	"2019"	"2019"	19	31346	Unreliable
	"Petersburg city, VA"	"51730"	"2020"	"2020"	37	30446	121.5
	"Petersburg city, VA"	"51730"	"2021 "	"2021"	43	33429	128.6
	"Poquoson city, VA"	"51735"	"2018"	"2018"	0	12190	Unreliable
	"Poquoson city, VA"	"51735"	"2019"	"2019"	Suppressed	12271	Suppressed
	"Poquoson city, VA"	"51735"	"2020"	"2020"	Suppressed	12257	Suppressed
	"Poquoson city, VA"	"51735"	"2021 "	"2021"	Suppressed	12574	Suppressed
	"Portsmouth city, VA"	"51740"	"2018"	"2018"	29	94632	30.6
	"Portsmouth city, VA"	"51740"	"2019"	"2019"	42	94398	44.5
	"Portsmouth city, VA"	"51740"	"2020"	"2020"	54	95094	56.8
	"Portsmouth city, VA"	"51740"	"2021 "	"2021"	83	97840	84.8
	"Radford city, VA"	"51750"	"2018"	"2018"	Suppressed	18339	Suppressed
	"Radford city, VA"	"51750"	"2019"	"2019"	Suppressed	18249	Suppressed
	"Radford city, VA"	"51750"	"2020"	"2020"	Suppressed	18255	Suppressed
	"Radford city, VA"	"51750"	"2021 "	"2021"	Suppressed	16499	Suppressed
	"Richmond city, VA"	"51760"	"2018"	"2018"	83	228783	36.3
	"Richmond city, VA"	"51760"	"2019"	"2019"	105	230436	45.6
	"Richmond city, VA"	"51760"	"2020"	"2020"	146	232226	62.9
	"Richmond city, VA"	"51760"	"2021 "	"2021"	217	226604	95.8
	"Roanoke city, VA"	"51770"	"2018"	"2018"	55	99920	55.0
	"Roanoke city, VA"	"51770"	"2019"	"2019"	42	99143	42.4
	"Roanoke city, VA"	"51770"	"2020"	"2020"	75	99058	75.7
	"Roanoke city, VA"	"51770"	"2021 "	"2021"	88	98865	89.0
	"Salem city, VA"	"51775"	"2018"	"2018"	Suppressed	25643	Suppressed
	"Salem city, VA"	"51775"	"2019"	"2019"	Suppressed	25301	Suppressed
	"Salem city, VA"	"51775"	"2020"	"2020"	15	25340	Unreliable
	"Salem city, VA"	"51775"	"2021 "	"2021"	Suppressed	25373	Suppressed
	"Staunton city, VA"	"51790"	"2018"	"2018"	Suppressed	24922	Suppressed
	"Staunton city, VA"	"51790"	"2019"	"2019"	Suppressed	24932	Suppressed
	"Staunton city, VA"	"51790"	"2020"	"2020"	Suppressed	25190	Suppressed
	"Staunton city, VA"	"51790"	"2021 "	"2021"	Suppressed	25661	Suppressed
	"Suffolk city, VA"	"51800"	"2018"	"2018"	10	91185	Unreliable
	"Suffolk city, VA"	"51800"	"2019"	"2019"	16	92108	Unreliable
	"Suffolk city, VA"	"51800"	"2020"	"2020"	29	93913	30.9
	"Suffolk city, VA"	"51800"	"2021 "	"2021"	35	96194	36.4
	"Virginia Beach city, VA"	"51810"	"2018"	"2018"	67	450189	14.9
	"Virginia Beach city, VA"	"51810"	"2019"	"2019"	55	449974	12.2
	"Virginia Beach city, VA"	"51810"	"2020"	"2020"	122	451231	27.0
	"Virginia Beach city, VA"	"51810"	"2021 "	"2021"	117	457672	25.6
	"Waynesboro city, VA"	"51820"	"2018"	"2018"	Suppressed	22628	Suppressed
	"Waynesboro city, VA"	"51820"	"2019"	"2019"	10	22630	Unreliable
	"Waynesboro city, VA"	"51820"	"2020"	"2020"	Suppressed	22741	Suppressed
	"Waynesboro city, VA"	"51820"	"2021 "	"2021"	Suppressed	22550	Suppressed
	"Williamsburg city, VA"	"51830"	"2018"	"2018"	Suppressed	14896	Suppressed
	"Williamsburg city, VA"	"51830"	"2019"	"2019"	Suppressed	14954	Suppressed
	"Williamsburg city, VA"	"51830"	"2020"	"2020"	Suppressed	15259	Suppressed
	"Williamsburg city, VA"	"51830"	"2021 "	"2021"	Suppressed	15590	Suppressed
	"Winchester city, VA"	"51840"	"2018"	"2018"	Suppressed	28108	Suppressed
	"Winchester city, VA"	"51840"	"2019"	"2019"	11	28078	Unreliable
	"Winchester city, VA"	"51840"	"2020"	"2020"	17	27700	Unreliable
	"Winchester city, VA"	"51840"	"2021 "	"2021"	Suppressed	28136	Suppressed
"---"
"Dataset: Multiple Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"States: Virginia (51)"
"UCD - Drug/Alcohol Induced Causes: Drug-induced causes"
"Group By: County; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Oct 20, 2023 6:50:56 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2023. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10-expanded.html on Oct 20, 2023 6:50:56 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Assurance of Confidentiality."
"2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Unreliable."
"3. The population figures for year 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Population Data."
"4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Age"
"Group."
